[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\Users\admin\Desktop\PAT用ファイル\前処理ファイル[環境設定前]\TEMPO酸化\R101-14\Sample20230726PAT(分析のみ)_202308011534_0-3_20230801_002.lcd
Output Date	2023/11/10
Output Time	11:14:56

[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	検出器A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	10
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.259	0.200	0.308	1667	466	3.577	0.000	   			0.000	103	1457.166	0.000	0.000	0.000	0	0	0.000	0.000
2	0.330	0.308	0.417	4127	1370	3.013	0.000	 V 			0.274	421	356.110	0.000	0.852	0.000	0	0	0.000	0.000
3	0.501	0.417	0.608	14725	7426	1.983	0.000	 V 	1	アセトフェノン	0.934	2310	64.940	1.802	3.225	3.411	0	0	0.000	0.000
4	0.700	0.608	0.742	1540	195	7.887	0.000	 V 			1.703	4	33445.420	0.000	0.292	1.824	0	0	0.000	0.000
5	0.788	0.742	0.833	1113	245	4.542	0.000	 V 			2.043	287	521.883	0.000	0.117	1.200	0	0	0.000	0.000
6	0.882	0.833	0.975	9701	4894	1.982	0.000	 V 	2	benzylalcohol	2.405	5310	28.246	1.456	0.800	1.177	0	0	0.000	0.000
7	1.017	0.975	1.417	6786	2761	2.458	0.000	SV 		benzoicacid	2.927	6088	24.640	1.792	2.688	1.217	0	0	0.000	0.000
8	1.660	1.550	1.792	680256	264728	2.570	0.000	   		benzaldehyde	5.409	10088	14.869	1.287	10.873	1.848	0	0	0.000	0.000
9	1.852	1.792	2.050	77630	20721	3.746	0.000	 V 			6.150	6050	24.792	1.363	2.377	1.137	0	0	0.000	0.000
10	2.752	2.642	2.908	17747	4710	3.768	0.000	   		nitrobenzene	9.623	12730	11.783	1.224	9.334	1.565	0	0	0.000	0.000

